vehicle_id,vehicle_number,lap,lap_tire_stress,total_g,avg_speed,lap_time_est,dist,stress_delta,time_delta,stress_delta_pct,stress_delta_safe,roi_efficiency,roi_category
GR86-037-003,3,20,10476.602405320884,0.7881357071810761,134.92920843423792,10.432408661177055,369.0,-272.1619547455957,0.15348052624686126,-2.5320301536865437,-272.1619547455957,-0.5639308638502677,TERRIBLE
GR86-037-003,3,21,10695.152147168508,0.7782435149843987,135.67078335005132,10.799238049017077,385.0,-53.6122128979714,0.5203099140868837,-0.49877559040321,-53.6122128979714,-9.705063192916093,TERRIBLE
GR86-037-003,3,22,19969.829360148207,0.7772253079773012,133.9779141771883,20.868150485436534,731.0,9221.065000081728,10.58922235050634,85.787209498606,9221.065000081728,-1.148373029624288,TERRIBLE
GR86-037-003,3,23,15408.709913748087,0.657726346032523,117.54413976241928,27.054967801287624,741.0,4659.945553681608,16.77603966635743,43.35331390270413,4659.945553681608,-3.6000505742182884,TERRIBLE
GR86-037-003,3,24,10331.020256626942,0.6893263157125001,119.84319166188176,20.310865874362953,435.0,-417.74410343953787,10.03193773943276,-3.886438379759533,-417.74410343953787,-24.014552585742795,TERRIBLE
GR86-037-003,3,25,6404.19272136153,0.612236557616199,109.03334377463572,16.051544442109424,374.0,-4344.57163870495,5.772616307179231,-40.419265816690384,-4344.57163870495,-1.328696310529698,TERRIBLE
GR86-037-003,3,26,45.008790955708335,0.13391890481301397,28.509015100651922,13.852928942807402,81.0,-10703.755569110772,3.5740008078772085,-99.58126544179419,-10703.755569110772,-0.33390157172414986,WASTEFUL
GR86-038-093,93,1,8011.823940610977,0.6551481235394734,103.08142396344435,20.486507078506733,539.0,-2820.6115001369926,10.42080234446113,-26.0385719865618,-2820.6115001369926,-3.6945188459860594,TERRIBLE
GR86-038-093,93,2,5656.1316367920335,0.6501527289635701,105.57146575698418,13.122160833092092,364.0,-5176.303803955936,3.056456099046489,-47.785226436563164,-5176.303803955936,-0.5904707711921051,TERRIBLE
GR86-038-093,93,3,9078.745226182085,0.7910401448340083,128.72930141530418,10.867165439845406,365.0,-1753.6902145658842,0.8014607057998031,-16.189251476810956,-1753.6902145658842,-0.4570138438037644,WASTEFUL
GR86-038-093,93,4,10740.285420544415,0.8070835848852638,126.24131280404637,16.474519230769115,393.0,-92.15002020355496,6.408814496723512,-0.8506860780071457,-92.15002020355496,-69.54761900829483,TERRIBLE
GR86-038-093,93,5,11594.146578164287,0.8748639700699458,135.7136562893112,10.285113068316937,365.0,761.7111374163178,0.21940833427133377,7.031762539299494,761.7111374163178,-0.28804664064064334,WASTEFUL
GR86-038-093,93,6,9284.638803050131,0.7736349406884152,125.98677669950571,11.145751861387375,367.0,-1547.7966376978384,1.0800471273417713,-14.288537846951291,-1547.7966376978384,-0.6977965328495684,TERRIBLE
GR86-038-093,93,7,4350.5264753522,0.588739849810434,95.82714844745782,15.711132795174066,370.0,-6481.90896539577,5.645428061128463,-59.837965348152586,-6481.90896539577,-0.870951457551636,TERRIBLE
GR86-038-093,93,8,4645.660780814525,0.5960147568528776,96.38423256575082,14.770042612000232,366.0,-6186.774659933444,4.704337877954629,-57.11342286574711,-6186.774659933444,-0.7603861683246174,TERRIBLE
